Mobile Money Usage,Bank Account Ownership,Savings,Credit Usage
46,0,93111,0
41,1,16432,0
27,0,4778,1
33,1,88908,1
63,1,60054,0
43,1,26993,0
30,1,86374,0
73,1,12724,0
11,0,28824,0
7,0,60592,1
85,1,5178,0
17,1,58333,0
99,1,2530,1
41,0,40257,0
70,1,22778,1
66,1,99138,1
96,1,44129,0
90,0,73109,1
68,1,76221,1
21,0,19253,1
42,1,54505,0
42,0,41817,0
71,1,54656,1
75,1,42683,1
49,0,25970,0
24,0,75776,1
42,0,74550,0
93,0,7379,0
83,0,65131,0
94,1,56949,0
25,0,59152,0
79,1,68261,1
63,0,18653,1
79,0,51034,0
47,0,34196,1
3,1,26706,1
55,1,54943,1
87,0,73082,1
63,0,11398,0
99,1,27950,1
32,1,24451,1
25,0,39903,1
4,1,12376,1
49,1,68118,0
25,0,55656,0
13,1,91766,0
80,0,2184,1
49,0,22721,1
15,0,39898,0
50,1,91101,1
90,1,4746,1
85,1,75059,0
21,0,10939,0
59,0,58100,0
71,0,25897,1
9,1,68009,1
70,0,15645,0
99,1,82802,1
57,0,20873,1
95,1,19175,0
52,0,53658,1
27,0,42232,1
69,1,19057,1
46,1,81013,0
30,0,2487,1
96,0,55726,0
90,1,69048,0
78,0,14053,1
93,1,84728,0
17,1,92786,0
59,1,13270,1
30,0,49296,1
17,1,82932,1
56,1,66062,1
13,1,72835,1
1,0,32470,0
48,1,67041,1
30,0,5615,1
46,0,70828,1
43,0,14558,1
12,0,6088,1
62,0,8235,1
75,0,92948,0
62,0,20525,0
61,0,20068,0
79,0,71540,0
10,1,7470,0
25,1,6684,1
65,1,42526,0
15,0,2621,1
25,0,69300,1
44,1,17152,0
11,1,17481,1
3,1,85867,1
9,1,7499,1
2,1,76450,0
73,1,9350,0
55,1,64964,0
90,1,32140,1
41,0,73566,0
44,0,5368,1
10,1,4739,1
47,0,53184,0
54,1,81787,1
66,1,70412,1
76,0,7626,0
55,1,5227,1
98,0,4689,0
52,1,68872,1
31,0,92787,1
40,0,2242,0
47,1,97748,1
16,0,83664,0
55,0,37124,1
7,1,80781,0
23,0,26296,1
70,0,15531,0
67,0,13672,0
13,1,99204,0
4,1,85167,0
75,1,28964,1
64,0,73077,1
86,0,67869,1
92,0,37151,0
23,0,29976,1
5,0,10470,0
40,1,32705,1
92,1,19835,0
67,0,55085,1
80,1,35512,1
91,1,56848,0
96,0,22167,0
74,1,32620,0
80,1,10919,0
48,0,41617,0
67,1,10344,1
47,1,18384,0
37,1,28495,0
99,1,88177,0
98,0,75627,0
34,0,66500,0
2,0,24123,1
69,0,32194,1
71,0,37680,0
2,1,1314,1
14,0,89317,1
8,0,73130,0
80,0,98953,0
23,0,5141,1
99,0,24804,1
37,0,49082,0
11,0,42271,0
70,1,12805,1
73,1,55003,1
16,1,93728,1
96,0,7630,1
20,0,50330,1
8,1,22780,0
8,0,26313,1
16,1,57246,1
86,0,30710,1
83,1,26688,1
59,0,62297,0
80,1,94038,0
29,0,35140,0
30,0,6404,1
23,0,92509,1
83,0,32611,1
83,0,19653,1
10,0,50646,0
17,1,3449,0
52,0,2000,0
84,1,51568,0
18,1,2787,1
97,0,48919,0
54,0,52950,0
87,0,99479,1
51,0,46925,1
30,1,97225,1
93,0,9796,1
21,1,77603,1
71,0,83533,0
27,1,76152,0
31,1,26243,0
34,0,50270,0
63,1,78598,1
88,1,75896,0
11,1,75472,0
92,1,35802,0
54,1,40865,1
77,0,58455,0
61,1,12463,0
26,1,51666,1
57,1,25973,1
22,1,96808,0
65,1,10203,1
66,0,50387,0
13,1,45855,0
4,1,14648,1
51,1,13523,1
72,1,22303,0
6,0,58856,0
84,0,7501,1
10,1,96604,0
97,0,29246,0
91,0,98746,1
90,0,97937,1
92,1,28695,1
70,0,62746,0
76,1,45755,1
67,0,46177,0
12,0,88161,1
11,0,22042,1
67,1,49735,1
9,0,40963,1
54,1,30933,1
11,0,33165,0
91,1,73221,0
23,0,55700,1
21,0,97462,1
81,0,38899,1
41,1,41917,0
10,0,40995,1
37,1,28454,1
90,1,69356,0
27,1,96094,0
58,1,50675,0
21,1,29454,1
15,0,18422,0
64,1,23523,1
53,0,90841,1
32,0,68562,1
91,0,35993,0
70,1,65799,0
70,1,96019,0
12,1,42729,0
78,1,95006,1
94,0,89325,0
88,0,1161,1
89,0,18018,0
60,1,44851,0
53,0,70510,1
52,0,28384,0
73,0,95931,0
96,1,2235,0
