Latitude,Longitude,Distance_to_Park,Proximity_to_Water,Vegetation_Density,Human_Population_Density,Reported_Conflict_Incidents
0.4701,39.1177,7.98,1,0.6,159,0
-0.9922,38.8448,10.77,1,0.7,145,6
-0.8473,37.8927,4.51,1,0.61,138,3
-1.7162,38.6172,9.98,1,0.52,56,9
1.7119,38.2287,3.28,1,0.76,57,10
0.2001,37.5258,4.47,0,0.66,196,2
-1.6765,38.6206,5.47,0,0.25,110,2
1.7186,37.0478,19.48,0,0.39,79,0
-1.994,38.7462,5.64,1,0.59,59,4
-0.593,36.4579,11.61,1,0.36,106,7
0.7704,35.8712,6.6,0,0.25,89,7
1.7343,36.266,18.01,0,0.34,118,9
0.2298,35.4403,4.68,0,0.37,92,2
-0.2811,38.2572,11.1,1,0.39,192,1
-0.2345,36.7302,11.71,0,0.55,143,2
0.7827,37.2918,6.91,0,0.78,63,1
0.4275,38.8025,5.07,0,0.45,112,4
0.2064,36.6308,19.24,1,0.32,79,9
0.1335,38.839,13.16,0,0.45,194,7
0.0273,38.5967,7.49,0,0.21,142,4
-1.0306,36.5217,11.13,0,0.37,72,5
0.8503,36.4836,2.6,1,0.5,144,9
-1.2597,35.6412,18.28,0,0.35,93,1
0.9454,35.9009,10.05,0,0.7,113,9
1.2402,39.6383,6.89,1,0.7,169,0
-0.3057,38.8829,15.53,1,0.47,94,3
0.2019,35.8055,18.31,0,0.77,132,6
-1.6785,35.6078,6.42,1,0.38,173,1
-0.6009,38.3796,6.73,0,0.65,154,9
-0.1033,35.5192,4.75,0,0.47,178,10
-0.6982,39.0764,8.42,0,0.59,79,10
-0.8356,36.8987,12.7,1,0.64,96,9
0.6156,37.6853,7.67,1,0.42,94,1
-0.6204,38.658,15.33,0,0.74,148,10
1.0196,36.3435,17.4,1,0.61,127,2
1.7142,35.4004,16.17,0,0.34,179,8
-0.4129,37.1872,19.24,0,0.68,77,9
1.3217,36.7411,19.96,1,0.39,51,7
-0.5878,39.839,5.22,1,0.66,82,4
1.6964,35.1314,15.71,1,0.59,189,5
-1.0571,37.264,6.45,1,0.25,120,4
1.6201,38.0924,3.98,0,0.64,69,2
-1.641,36.5088,5.49,0,0.51,161,3
-0.2176,39.188,10.7,0,0.3,88,6
-0.3839,38.6098,7.93,0,0.26,87,8
-0.8411,39.5042,5.68,0,0.75,83,9
-1.3923,37.5981,11.68,1,0.39,109,0
0.9386,36.3507,3.23,0,0.21,162,8
-1.5938,38.1163,17.5,1,0.31,131,2
0.5834,36.4533,14.89,0,0.75,84,10
1.0808,39.5487,17.85,0,0.23,99,4
-1.9973,36.0064,12.61,1,0.73,159,4
-0.2178,36.6251,17.35,0,0.36,73,5
1.9294,35.9225,17.37,0,0.25,165,8
-0.8117,36.8335,16.54,0,0.64,149,2
0.0608,38.272,9.97,1,0.53,128,2
1.1185,39.7938,13.27,1,0.43,99,4
-0.5877,39.9296,13.11,1,0.76,52,9
-0.6883,38.8483,10.42,0,0.37,102,1
1.0918,36.0416,3.77,0,0.46,67,5
1.8239,39.9426,4.23,0,0.47,129,3
0.9117,35.3325,3.21,1,0.51,163,2
-0.7126,37.3639,15.36,1,0.33,198,6
-1.57,38.1162,7.57,0,0.29,183,1
-0.6887,37.7945,12.15,0,0.58,200,4
-0.7362,38.6697,7.94,1,0.63,173,8
-0.6031,35.1006,1.77,0,0.58,164,3
0.8286,35.9546,3.06,1,0.52,189,10
-0.9688,35.675,5.44,0,0.7,195,8
0.2597,36.2733,7.41,0,0.73,107,9
0.4899,38.078,9.51,0,0.77,167,10
0.155,35.5559,1.04,1,0.26,99,5
1.1231,37.6394,1.56,1,0.59,149,9
0.0768,38.9847,2.09,1,0.76,84,2
-0.8053,39.1219,19.24,1,0.4,70,5
-1.6296,36.0227,14.8,0,0.73,126,1
-1.3039,38.9179,19.09,0,0.23,146,6
-1.3298,39.674,14.89,0,0.65,88,1
1.5754,39.0474,2.01,1,0.21,100,7
1.4505,39.9904,11.29,1,0.5,79,8
0.0186,38.4175,15.4,1,0.34,171,9
-0.5165,39.9408,10.28,1,0.57,197,1
1.6232,38.3327,2.62,0,0.37,164,0
-0.9345,37.3788,7.03,1,0.4,183,6
0.3803,37.6253,11.87,1,0.63,50,2
1.2487,36.6149,4.23,1,0.3,151,8
1.6093,39.1689,15.41,1,0.7,142,6
1.0234,35.4021,8.97,1,0.63,105,5
0.0082,39.1948,15.88,1,0.74,133,2
-0.992,35.6027,8.1,0,0.67,172,10
0.8941,38.1006,18.21,1,0.65,146,2
-1.2166,38.2097,11.44,0,0.22,56,3
-1.418,37.1581,12.99,1,0.31,169,9
-1.9601,37.6825,17.32,0,0.39,173,10
-0.3858,35.234,8.15,0,0.61,158,10
1.7214,38.9892,12.76,1,0.49,141,8
-0.7014,35.8859,10.03,0,0.33,113,9
-0.3509,37.7412,19.8,1,0.36,103,4
0.1915,36.8611,16.41,1,0.46,191,7
-1.0789,37.3853,18.69,1,0.51,54,4
1.698,38.5652,5.12,1,0.39,130,3
0.8739,39.1968,4.41,1,0.56,145,4
0.2391,35.7079,5.53,1,0.26,70,2
-1.8985,35.5459,15.53,0,0.36,193,6
0.7466,36.0397,14.9,0,0.68,140,6
1.9651,35.425,12.4,1,0.35,199,1
-1.7812,39.5524,15.88,1,0.24,111,10
-0.3376,35.1736,13.28,0,0.69,170,10
0.6381,38.8615,4.16,1,0.43,87,2
-0.1537,39.1062,12.23,1,0.68,191,1
-1.1034,38.6065,3.84,1,0.23,89,6
1.5492,39.4565,5.77,1,0.46,84,2
1.0447,37.0797,3.62,0,0.52,190,8
1.9157,39.5326,9.82,0,0.49,86,3
1.1961,35.1945,6.16,0,0.53,200,7
-1.4203,37.6851,17.93,1,0.75,84,9
1.9896,36.1514,8.62,0,0.45,55,6
-1.1553,37.2973,9.0,1,0.58,111,1
-1.0336,39.5812,13.66,0,0.33,152,9
0.1369,38.6605,14.12,0,0.62,137,0
-1.7054,36.6501,10.27,0,0.74,81,2
1.3202,36.0494,11.02,1,0.43,178,6
-0.343,36.0828,6.03,1,0.69,151,5
0.8684,38.4869,8.3,0,0.48,117,10
-0.586,38.638,14.89,0,0.32,182,0
1.4036,38.4154,5.53,1,0.8,98,2
0.9685,36.1334,10.32,1,0.57,94,10
0.017,37.9608,12.51,1,0.79,60,10
-0.8081,35.6064,19.29,0,0.38,79,0
0.0796,39.8382,14.51,1,0.73,124,9
0.8684,38.1429,4.28,1,0.74,122,7
0.4754,38.5165,5.58,0,0.7,132,3
0.1123,37.2721,10.11,0,0.21,145,9
0.5201,39.162,4.64,1,0.46,95,5
-0.6557,37.3679,8.2,0,0.35,192,8
-1.8525,36.9343,12.77,1,0.8,146,9
-0.1832,37.4264,18.78,1,0.24,160,1
1.9772,37.4305,9.81,0,0.39,187,9
1.0816,38.464,16.36,0,0.53,52,1
-0.6036,39.4279,11.64,1,0.68,198,6
1.8088,38.9807,13.98,0,0.41,168,8
1.6394,38.6741,14.9,1,0.23,101,7
-1.3153,39.984,15.77,1,0.37,134,0
-1.5418,39.1301,9.31,1,0.29,152,7
0.4381,36.7355,2.74,1,0.7,171,5
0.615,36.3679,3.88,1,0.79,182,0
-1.8364,35.3577,7.86,0,0.69,78,10
-0.6352,36.3447,5.16,0,0.64,194,9
1.1176,37.9399,16.11,0,0.49,93,0
1.2137,38.3816,17.26,1,0.75,89,4
0.41,37.5693,12.19,1,0.44,83,4
-1.4455,37.343,9.5,1,0.71,130,0
0.1176,38.9769,2.21,0,0.26,119,5
0.3235,36.2731,8.82,0,0.44,53,7
0.1568,36.1425,3.64,1,0.41,158,6
1.8888,38.6229,19.48,1,0.63,87,2
-1.9646,35.2416,12.58,1,0.54,74,6
0.163,39.3361,14.63,0,0.67,79,3
0.2502,39.755,5.57,1,0.63,150,8
1.6999,36.5981,17.93,0,0.24,129,6
-0.1838,39.0206,10.64,1,0.22,193,5
1.6796,37.4104,3.2,1,0.58,115,2
-0.6277,35.157,2.05,0,0.58,113,2
-1.9951,37.6058,6.4,0,0.75,95,3
-1.0294,37.8762,4.91,0,0.54,115,4
1.597,39.7165,18.45,0,0.69,169,10
0.6069,36.3225,17.54,0,0.68,173,2
0.6401,38.9795,14.21,1,0.73,117,9
0.0424,37.9426,10.62,0,0.26,131,4
0.6294,36.4276,16.35,0,0.42,125,7
1.3679,35.306,14.53,0,0.41,135,7
0.4202,38.6219,10.45,0,0.73,51,9
-0.5065,37.2448,6.05,1,0.45,111,10
0.8494,35.9652,2.92,1,0.52,74,9
0.381,38.8622,5.21,0,0.66,57,7
-0.6736,35.9545,8.59,0,0.48,51,0
0.7273,37.5149,2.73,1,0.43,104,7
-0.0432,39.6587,19.44,0,0.6,124,2
-1.9414,39.9722,18.97,0,0.24,79,4
1.64,37.1541,7.8,1,0.68,71,4
-0.7092,39.3085,4.64,1,0.51,96,9
1.2439,39.5221,2.36,1,0.79,147,3
1.671,39.824,1.76,0,0.72,123,4
0.3591,36.8242,5.38,1,0.56,117,2
1.1998,39.2087,15.39,0,0.4,196,1
-0.0471,39.3292,1.04,1,0.64,51,5
-1.0398,37.9113,3.84,0,0.8,71,10
0.2647,39.4208,14.27,0,0.53,170,0
1.4429,39.1026,14.6,0,0.29,164,7
0.9937,37.0455,18.75,0,0.79,54,10
-0.9936,37.5399,1.86,1,0.5,134,2
0.7592,37.4143,2.43,0,0.69,199,0
-1.2358,35.8365,4.91,0,0.61,78,8
0.8095,35.0319,5.49,1,0.78,119,6
-1.0045,35.8772,6.58,1,0.72,194,5
-0.4726,36.8139,5.55,0,0.64,170,2
1.461,36.3692,19.34,1,0.59,166,6
-0.336,37.415,5.68,0,0.8,126,4
-0.5249,39.0973,14.98,0,0.42,71,10
-1.4888,38.4407,9.78,1,0.75,117,10
-1.8791,37.8242,14.69,1,0.4,166,10
1.2682,35.2852,17.68,0,0.6,58,6
0.6485,35.8705,6.61,0,0.34,99,5
-0.04,36.9956,2.74,1,0.53,62,9
-1.1476,38.8131,15.44,0,0.41,117,4
-1.2064,38.333,3.32,1,0.5,132,4
-0.4283,38.6297,1.69,0,0.8,190,4
0.2968,35.4964,1.24,1,0.51,117,10
1.4899,35.1028,19.78,1,0.25,179,0
0.8394,35.908,19.27,1,0.52,176,8
-0.3894,37.178,10.6,0,0.74,84,1
-0.2475,36.3497,9.95,0,0.27,102,9
-0.4091,35.9149,8.75,1,0.32,158,10
-1.612,37.8407,2.14,1,0.32,58,9
-1.8746,35.7457,19.81,1,0.5,134,8
-1.5325,36.9355,6.52,1,0.24,146,2
-0.3213,35.0058,15.57,1,0.41,106,6
0.7766,36.7322,13.87,1,0.4,62,5
-0.0866,35.2969,11.23,0,0.74,198,10
-0.4662,36.2875,2.35,1,0.77,109,5
0.2885,38.3315,14.41,1,0.72,182,5
-1.4704,36.1679,18.62,1,0.3,198,2
0.5094,37.6176,13.44,1,0.32,121,6
1.3939,35.7601,2.71,1,0.75,70,9
-0.2248,39.2071,4.42,1,0.49,134,5
0.7443,39.4446,4.88,1,0.23,109,2
-0.1366,38.895,10.19,1,0.38,166,6
-1.7732,36.1912,2.65,1,0.32,115,9
-0.9739,39.8102,2.08,1,0.48,63,5
-0.7778,36.1198,19.1,1,0.67,104,0
-0.8597,37.9481,14.97,0,0.61,60,8
1.4569,39.3819,8.13,1,0.22,185,3
0.895,39.3684,19.54,0,0.4,91,1
-0.8896,37.7003,7.77,1,0.45,131,1
-0.2019,38.5305,11.24,0,0.33,194,3
1.2618,35.1993,16.93,1,0.51,174,6
-0.7315,35.8385,12.76,1,0.29,175,7
-1.6933,38.3665,3.6,0,0.38,160,3
-0.4917,36.1927,2.18,0,0.44,168,2
1.6884,37.2927,6.48,0,0.36,194,2
1.4277,35.7183,7.48,0,0.51,111,4
-1.3562,37.583,17.21,0,0.52,169,2
-1.4228,38.0054,1.1,1,0.74,169,5
-1.765,38.0486,3.67,1,0.32,164,2
1.4319,35.0533,2.68,1,0.48,126,2
-1.4666,36.4643,15.17,1,0.32,117,7
-0.56,37.0928,10.52,0,0.26,128,7
-0.0286,38.8349,12.45,0,0.73,94,8
-0.0447,39.7709,16.73,1,0.77,187,10
0.4557,35.3888,12.25,1,0.35,151,4
0.7736,39.0866,13.24,1,0.77,172,6
-0.0187,39.4128,7.68,1,0.67,115,5
0.2611,36.0015,2.62,0,0.65,115,1
1.0498,38.6322,9.65,0,0.44,117,6
-0.6177,39.1412,5.21,1,0.42,173,2
-1.3955,38.771,17.88,0,0.55,143,0
-0.4809,35.4654,8.08,0,0.6,128,8
-1.7073,36.4906,10.27,0,0.37,109,4
1.5471,37.6194,14.76,0,0.34,133,7
-1.4848,38.295,8.82,1,0.39,125,2
-1.3032,38.549,7.76,0,0.22,70,7
-1.047,38.3383,16.02,1,0.54,83,1
-0.1966,36.1849,5.07,0,0.37,160,7
1.5698,37.3076,12.99,1,0.75,159,3
0.1265,36.9678,6.83,0,0.26,143,8
-0.7303,36.9967,14.58,1,0.36,148,4
1.1796,35.1986,5.46,1,0.21,65,7
1.081,38.1903,9.87,1,0.55,109,10
-1.1475,38.1948,3.51,0,0.39,173,3
-0.5287,35.5242,9.02,1,0.51,107,7
-1.798,39.8353,2.53,0,0.48,106,3
0.2864,36.2465,7.34,0,0.25,200,4
1.1745,37.6441,1.85,1,0.73,144,2
-1.0823,36.9532,13.96,0,0.78,91,1
-1.2638,39.7928,9.69,1,0.61,151,10
-0.9196,38.0798,6.13,1,0.54,142,3
0.368,38.5279,9.87,0,0.62,65,6
0.3979,37.3158,15.11,1,0.74,62,5
-0.573,36.8237,16.71,0,0.58,145,0
1.0312,37.3649,9.33,1,0.36,157,0
-1.0608,35.3095,16.9,1,0.63,111,1
-0.7289,39.8209,18.11,1,0.5,179,3
-0.8321,37.2454,10.33,1,0.22,55,0
